S.no,Solution Area ,Focus,Certification Number ,Category,Old Certification number,Certification Number ,Certification Name ,Learning Path URL,Level
1,Azure,Apps & Infra,AZ-104,Admin,AZ-103,AZ-104,Microsoft Azure Administrator,Link,Intermediate 
,,,AZ-204,Apps,AZ-203,AZ-204,Azure Developer Associate,Link,Intermediate 
,,,AZ-500,Infra,,AZ-500,Microsoft Azure Security Technologies,Link,Intermediate 
,,,AZ-600,Infra,,AZ-600,Azure Stack Hub Operator Associate,Link,Intermediate 
,,,AZ-700,Infra,,AZ-700,Designing and Implementing Microsoft Azure Networking Solutions (beta),Link,Intermediate 
,,,AZ-720,Infra,,AZ-720,Troubleshooting Microsoft Azure Connectivity (beta),Link,Intermediate 
,,,AZ-800,Infra,,AZ-800,Administering Windows Server Hybrid Core Infrastructure (beta),Link,Intermediate 
,,,AZ-801,Infra,,AZ-801,Configuring Windows Server Hybrid Advanced Services (beta),Link,Intermediate 
,,,AZ-305,Infra,AZ-301 > AZ-304,AZ-305,Designing Microsoft Azure Infrastructure Solutions,Link,Advanced
,,,,Infra,AZ-300 > AZ-303,,,,
,,,AZ-120,Infra,,AZ-120,Planning and Administering Microsoft Azure for SAP Workloads,Link,Advanced
,,,AZ-140,Infra,,AZ-140,Configuring and Operating Microsoft Azure Virtual Desktop,Link,Intermediate 
,,,AZ-900,Fundamental,,AZ-900,Microsoft Azure Fundamentals,Link,Fundamental 
,,Data & AI,AI-102 ,AI,AI-100,AI- 102,Designing and Implementing an Azure AI Solution,Link,Intermediate 
,,,AI-900,AI,,AI-900,Microsoft Azure AI Fundamentals,Link,Fundamental 
,,,DP-420,Data,,DP-420,Designing and Implementing Cloud-Native Applications Using Microsoft Azure Cosmos DB (beta),Link,Intermediate 
,,,DP-900,Data,,DP-900,Microsoft Azure Data Fundamentals,Link,Fundamental 
,,,DP-203,Data,DP-200/201,DP-203,Data Engineering on Microsoft Azure,Link,Intermediate 
,,,DP-300,Data,,DP-300,Administering Relational Databases on Microsoft Azure,Link,Intermediate 
,,,DP-100,Data,,DP-100,Designing and Implementing a Data Science Solution on Azure,Link,Intermediate 
,,,DP-500,Data,,DP-500,Azure Enterprise Data Analyst Associate,Link,Intermediate 
,,,MB-260,Data,,MB-260,Microsoft Customer Data Platform Specialist (beta),Link,Intermediate 
2,Business Application ,Digital and app innovation,AZ-400,Digital and app innovation,,AZ-400,Designing and Implementing Microsoft DevOps Solutions,Link,Advanced
,,,AZ-220,Digital and app innovation,,AZ-220,Microsoft Azure IoT Developer,Link,Intermediate 
,,Dynamics,MB-210,Dynamics,,MB-210,Microsoft Dynamics 365 Sales,Link,Intermediate 
